Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Crassulaceae,Tillaea vaillantii Willd. ,,-,+,,,,,,Onagraceae,Epilobium palustre L.,Epilobium palustre L., + ,+
Cucurbitaceae ,Bryonia alba L. ,,-,+,,,,,,Onagraceae,Epilobium parviflorum Schreb.,,-,+
Cucurbitaceae ,Echinocystis lobata (Michx. fil.) Torr. et Gray ,,-,+,,,,,,Onagraceae,Epilobium pseudorubescens A.Skvorts.,,-,+
Cupressaceae,Juniperus communis L.,Juniperus communis L., + ,+,,,,,,Onagraceae,Epilobium roseum Schred.,,-,+
Cupressaceae,Juniperus sabina L.,,-,+,,,,,,Onagraceae,Epilobium smyrneum Boiss. et Balansa,,-,+
Cuscutaceae ,Cuscuta approximata Bab. ,,-,+,,,,,,Onagraceae,Epilobium tetragonum L.,,-,+
Cuscutaceae ,Cuscuta campestris Yunck.,,-,+,,,,,,Orchidaceae,Epipactis atrorubens (Hoffm. ex Bernh.) Schult. ,,-,+
Cuscutaceae ,Cuscuta epithymum (L.) L.,,-,+,,,,,,Orchidaceae,Epipactis helleborine (L.) Crantz ,,-,+
Cuscutaceae ,Cuscuta europaea L.,,-,+,,,,,,Orchidaceae,Epipactis palustris (L.) Crantz ,,-,+
Cuscutaceae ,Cuscuta lupuliformis Krock.,,-,+,,,,,,Orchidaceae,Epipogium aphyllum (F.W.Schmidt) Sw.,Epipogium aphyllum Sw., + ,-
Cuscutaceae ,Cuscuta monogyna Vahl,,-,+,,,,,,Equisetaceae,Equisetum arvense L.,Equisetum arvense L., + ,+
Cyperaceae,Carex acuta L.,Carex acuta L., + ,+,,,,,,Equisetaceae,Equisetum fluviatile L.,Equisetum fluviatile L., + ,+
Cyperaceae,Carex appropinquata Schumach.,Carex appropinquata Schumach., + ,-,,,,,,Equisetaceae,Equisetum hyemale L.,Equisetum hyemale L., + ,-
Cyperaceae,Carex atherodes Spreng.,Carex atherodes Spreng., + ,+,,,,,,Equisetaceae,Equisetum palustre L.,Equisetum palustre L., + ,+
Cyperaceae,Carex brunnescens (Pers.) Poir.,Carex brunnescens (Pers.) Poir., + ,-,,,,,,Equisetaceae,Equisetum pratense Ehrh.,Equisetum pratense Ehrh., + ,+
Cyperaceae,Carex cespitosa L.,Carex cespitosa L., + ,+,,,,,,Equisetaceae,Equisetum sylvaticum L.,Equisetum sylvaticum L., + ,+
Cyperaceae,Carex chordorrhiza Ehrh.,Carex chordorrhiza L.f., + ,-,,,,,,Poaceae (Gramineae),Eragrostis minor Host ,,-,+
Cyperaceae,Carex canescens L. (= C. cinerea Poll.),Carex canescens L., + ,-,,,,,,Poaceae (Gramineae),Eragrostis pilosa (L.) Beauv. ,,-,+
Cyperaceae,Carex digitata L.,Carex digitata L., + ,+,,,,,,Poaceae (Gramineae),Eragrostis suaveolens A.Beck. ex Claus ,,-,+
Cyperaceae,Carex disperma Dew.,Carex disperma Dewey, + ,-,,,,,,Caryophyllaceae ,Eremogone biebersteinit (Schlecht.) Holub ,,-,+
Cyperaceae,Carex elongata L.,Carex elongata L., + ,+,,,,,,Caryophyllaceae ,Eremogone longifolia (Bieb.) Fenzl,,-,+
Cyperaceae,Carex globularis L.,Carex globularis L., + ,-,,,,,,Caryophyllaceae ,Eremogone micradenia (P. Smirn.) Ikonn.,,-,+
Cyperaceae,Carex juncella (Fries) Th.Fries,Carex juncella Th. Fries, + ,-,,,,,,Caryophyllaceae ,Eremogone saxatilis (L.) Ikonn.,,-,+
Cyperaceae,"Carex leporina L. (= C. ovalis Gooden., C. lachenalii Schkuhr)",Carex leporina L., + ,+,,,,,,Poaceae (Gramineae),Eremopyrum orientale (L.) Jaub. et Spach,,-,+
Cyperaceae,Carex limosa L.,Carex limosa L., + ,-,,,,,,Asteraceae (Compositae),Erigeron acris L.,Erigeron acris L., + ,+
Cyperaceae,Carex loliacea L.,Carex loliacea L., + ,-,,,,,,Asteraceae (Compositae),Erigeron podolicus Bess.,,-,+
Cyperaceae,Carex macroura Meinsh.,Carex pediformis var. macroura (Meinsh.) Kük., + ,+,,,,,,Asteraceae (Compositae),Erigeron uralensis Less.,,-,+
Cyperaceae,Carex mollissima H.Christ,Carex mollissima Christ ex Scheutz, + ,-,,,,,,Cyperaceae,Eriophorum gracile Koch,,-,+
Cyperaceae,Carex muricata L.,Carex muricata L., + ,+,,,,,,Cyperaceae,Eriophorum polystachion L.,,-,+
Cyperaceae,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard, + ,+,,,,,,Cyperaceae,Eriophorum vaginatum L.,Eriophorum vaginatum L., + ,-
Cyperaceae,Carex pallescens L.,Carex pallescens L., + ,+,,,,,,Geraniaceae,Erodium cicutarium (L.) L'Her. ,,-,+
Cyperaceae,Carex pauciflora Lightf.,Carex pauciflora Lightf., + ,-,,,,,,Brassicaceae (Cruciferae),Erucastrum armoracioides (Czern. ex Turcz.) Cruchet,,-,+
Cyperaceae,Carex paupercula Michx.,Carex magellanica subsp. irrigua (Wahlenb.) Hiitonen, + ,-,,,,,,Apiaceae (Umbelliferae),Eryngium planum L. ,,-,+
Cyperaceae,Carex rhizina Blytt ex Lindblom,Carex rhizina Blytt ex Lindblom, + ,+,,,,,,Brassicaceae (Cruciferae),Erysimum cheiranthoides L.,Erysimum cheiranthoides L., + ,+
Cyperaceae,Carex rhynchophysa C.A.Mey.,Carex albicans var. australis (L.H.Bailey) Rettig, + ,-,,,,,,Brassicaceae (Cruciferae),Erysimum diffusum Enth.,,-,+
Cyperaceae,Carex rostrata Stokes,Carex rostrata Stokes, + ,+,,,,,,Brassicaceae (Cruciferae),Erysimum hieracifolium L.,,-,+
Cyperaceae,Carex tenuiflora Wahlenb.,Carex tenuiflora Wahlenb., + ,-,,,,,,Celastraceae ,Euonymus europaea L. ,,-,+
Cyperaceae,Carex vaginata Tausch,Carex vaginata Tausch, + ,-,,,,,,Celastraceae ,Euonymus verrucosa Scop.,,-,+
Cyperaceae,Carex vesicaria L.,Carex vesicaria L., + ,+,,,,,,Asteraceae (Compositae),Eupatorium cannabinum L. ,,-,+
Cyperaceae,Eleocharis austriaca Hayek ,Eleocharis mamillata subsp. austriaca (Hayek) Strandh., + ,-,,,,,,Euphorbiaceae ,Euphorbia borodinii Sambuk ,,-,+
Cyperaceae,Eleocharis palustris (L.) Roem. et Schult.,Eleocharis palustris (L.) Roem. & Schult., + ,+,,,,,,Euphorbiaceae ,Euphorbia falcata L.,,-,+
Cyperaceae,Eriophorum vaginatum L.,Eriophorum vaginatum L., + ,-,,,,,,Euphorbiaceae ,Euphorbia glareosa Pall. ex Bieb.,,-,+
Cyperaceae,Scirpus lacustris L.,Schoenoplectus lacustris (L.) Palla, + ,+,,,,,,Euphorbiaceae ,Euphorbia helioscopia L.,,-,+
Cyperaceae,Scirpus sylvaticus L.,Scirpus sylvaticus L., + ,+,,,,,,Euphorbiaceae ,Euphorbia kaliniczenkoi Czern.,,-,+
Cyperaceae,Carex pediformis C.A. Mey.,Carex pediformis C.A.Mey., + ,+,,,,,,Euphorbiaceae ,Euphorbia palustris L.,,-,+
Cyperaceae,Eleocharis mamillata H. Lindb.,Eleocharis mamillata (H.Lindb.) H.Lindb., + ,+,,,,,,Euphorbiaceae ,Euphorbia pseudagraria P. Smirn.,,-,+
Cyperaceae,Carex contigua Hoppe,Carex spicata Huds., + ,+,,,,,,Euphorbiaceae ,Euphorbia seguieriana Neck.,,-,+
Cyperaceae,Bolboschoenus maritimus (L.) Plla,,-,+,,,,,,Euphorbiaceae ,Euphorbia semivillosa Prokh.,,-,+
Cyperaceae,Carex acutiformis Ehrh.,,-,+,,,,,,Euphorbiaceae ,Euphorbia uralensis Fisch. ex Link,,-,+
Cyperaceae,Carex aquatilis Wahlenb.,,-,+,,,,,,Euphorbiaceae ,Euphorbia virgata Waldst. et Kit.,,-,+
Cyperaceae,Carex arnellii Christ,,-,+,,,,,,Euphorbiaceae ,Euphorbia zhiguliensis Prokh..,,-,+
Cyperaceae,Carex aspratilis V. Krecz.,,-,+,,,,,,Scrophulariaceae,Euphrasia × murbeckii Wettst.,,-,+
Cyperaceae,Carex caryophyllea Latourr.,,-,+,,,,,,Scrophulariaceae,Euphrasia brevipila Burn. Et Gremli,Euphrasia brevipila Burn. & Gremli, + ,+
Cyperaceae,Carex cinerea Poll.,,-,+,,,,,,Scrophulariaceae,Euphrasia hirtella Jord. ex Reut.,Euphrasia hirtella Jord. ex Reut., + ,-
Cyperaceae,Carex colchica J. Gay,,-,+,,,,,,Scrophulariaceae,Euphrasia onegensis Cajand.,Euphrasia onegensis Cajand., + ,-
Cyperaceae,Carex diluta Bieb.,,-,+,,,,,,Scrophulariaceae,Euphrasia parviflora Schagerstr.,,-,+
Cyperaceae,Carex distans L.,,-,+,,,,,,Scrophulariaceae,Euphrasia pectinata Ten.,,-,+
Cyperaceae,Carex disticha Huds.,,-,+,,,,,,Scrophulariaceae,Euphrasia vernalis List,Euphrasia vernalis List, + ,-
Cyperaceae,Carex echinata Murr.,,-,+,,,,,,Polygonaceae,Fagopyrum esculentum Moench ,,-,+
Cyperaceae,Carex ericetorum Poll.,,-,+,,,,,,Polygonaceae,Fagopyrum tataricum (L.) Gaertn.,,-,+
Cyperaceae,Carex hartmanii Cajand.,,-,+,,,,,,Apiaceae (Umbelliferae),Falcaria vulgaris Bernh. ,,-,+
Cyperaceae,Carex humilis Leyss.,,-,+,,,,,,Polygonaceae,Fallopia convolvulus (L.) A.Love ( = Polygonum convolvulus L.),Fallopia convolvulus (L.) Á.Löve, + ,+
Cyperaceae,Carex lasiocarpa Ehrh.,,-,+,,,,,,Polygonaceae,Fallopia dumetorum (L.) Holub,,-,+
Cyperaceae,Carex melanostachya Bieb. ex Willd.,,-,+,,,,,,Apiaceae (Umbelliferae),Ferula tatarica Fisch. ex Spreng. ,,-,+
Cyperaceae,Carex montana L.,,-,+,,,,,,Poaceae (Gramineae),Festuca altissima All.,Festuca altissima All., + ,+
Cyperaceae,Carex omskiana Meinsh.,,-,+,,,,,,Poaceae (Gramineae),Festuca gigantea (L.) Vill.,,-,+
Cyperaceae,Carex pilosa Scop.,,-,+,,,,,,Poaceae (Gramineae),Festuca ovina L. ,,-,+
Cyperaceae,Carex polyphylla Kar. et Kir.,,-,+,,,,,,Poaceae (Gramineae),Festuca polesica Zapal.,,-,+
Cyperaceae,Carex praecox Schreb.,,-,+,,,,,,Poaceae (Gramineae),Festuca pratensis Huds.,Festuca pratensis Huds., + ,+
Cyperaceae,Carex pseudocyperus L.,,-,+,,,,,,Poaceae (Gramineae),Festuca pseudodalmatica Krajina,,-,+
Cyperaceae,Carex riparia Curt.,,-,+,,,,,,Poaceae (Gramineae),Festuca pseudovina Hack. ex Wiesb.,,-,+
Cyperaceae,Carex rostrata Stokes,,-,+,,,,,,Poaceae (Gramineae),Festuca regeliana Pavl.,,-,+
Cyperaceae,Carex supina Willd.,,-,+,,,,,,Poaceae (Gramineae),Festuca richardsonii Hook. (= F. kirelowii Steud.),Festuca richardsonii Hook., + ,-
Cyperaceae,Carex sylvatica Huds.,,-,+,,,,,,Poaceae (Gramineae),Festuca rubra L.,Festuca rubra L., + ,+
Cyperaceae,Carex vulpina L.,,-,+,,,,,,Poaceae (Gramineae),Festuca rupicola Heuff.,,-,+
Cyperaceae,Cyperus fuscus L.,,-,+,,,,,,Poaceae (Gramineae),Festuca taurica (Hack.) A.Kerner ex Trautv.,,-,+
Cyperaceae,Cyperus glaber L.,,-,+,,,,,,Poaceae (Gramineae),Festuca valesiaca Gaudin,,-,+
Cyperaceae,Eleocharis acicularis (L.) Roem. et Schult.,,-,+,,,,,,Poaceae (Gramineae),Festuca wolgensis P. Smir.,,-,+
Cyperaceae,Eleocharis ovata (Roth) Roem. et Schult.,,-,+,,,,,,Ranunculaceae,Ficaria verna Huds. ,,-,+
Cyperaceae,Eleocharis uniglumis (Link.) Schult.,,-,+,,,,,,Asteraceae (Compositae),Filaginella uliginosa (L.) Opiz,Gnaphalium uliginosum L., + ,-
Cyperaceae,Eriophorum gracile Koch,,-,+,,,,,,Rosaceae,Filipendula denudata (J. et C. Presl) Fritsch ,,-,+
Cyperaceae,Eriophorum polystachion L.,,-,+,,,,,,Rosaceae,Filipendula stepposa Juz.,,-,+
Cyperaceae,Scirpoides holoschoenus (L.) Sojak,,-,+,,,,,,Rosaceae,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria (L.) Maxim., + ,+
Cyperaceae,Scirpus supinus L.,,-,+,,,,,,Rosaceae,Filipendula vulgaris Moench,,-,+
Cyperaceae,Scirpus tabernaemontani C. C. Gmel.,,-,+,,,,,,Rosaceae,Fragaria campestris Stev. ,,-,+
Cyperaceae,Scirpus triqueter L.,,-,+,,,,,,Rosaceae,Fragaria moschata Duch.,,-,+
Dipsacaceae,Knautia arvensis (L.) J.M.Coult.,Knautia arvensis (L.) Coult., + ,+,,,,,,Rosaceae,Fragaria vesca L.,Fragaria vesca L., + ,+
Dipsacaceae,Knautia tatarica (L.) Szabo,Knautia tatarica (L.) Szabó, + ,+,,,,,,Rosaceae,Fragaria viridis Duch.,,-,+
Dipsacaceae,Succisa pratensis Moench,Succisa pratensis Moench, + ,-,,,,,,Rhamnaceae ,Frangula alnus Mill.,,-,+
Dipsacaceae ,Scabiosa isetensis L. ,,-,+,,,,,,Oleaceae ,Fraxinus excelsior L. ,,-,+
Dipsacaceae ,Scabiosa ochroleuca L.,,-,+,,,,,,Oleaceae ,Fraxinus pennsylvanica Marsh.,,-,+
Droseraceae ,Drosera rotundifolia L. ,,-,+,,,,,,Liliaceae,Fritillaria ruthenica Wikstr.,,-,+
Dryopteridaceae,Dryopteris assimilis S. Walker ,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy, + ,-,,,,,,Fumariaceae,Fumaria officinalis L. ,,-,+
Dryopteridaceae,Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris carthusiana (Vill.) H.P. Fuchs, + ,+,,,,,,Fumariaceae,Fumaria schleicheri Soy.-Willem.,,-,+
Dryopteridaceae,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott, + ,+,,,,,,Liliaceae,Gagea artemczukii A. Krasnova,,-,+
Dryopteridaceae,Dryopteris dilatata (Hoffm.) A. Gray,Dryopteris dilatata (Hoffm.) A. Gray, + ,-,,,,,,Liliaceae,Gagea bulbifera (Pall.) Salisb.,,-,+
Dryopteridaceae,Dryopteris cristata (L.) A. Gray,,-,+,,,,,,Liliaceae,Gagea erubescens (Bess.) Schult. et Schult. fil.,,-,+
Dryopteridaceae,Polystichum braunii (Spenn.) Fee,,-,+,,,,,,Liliaceae,Gagea granulosa Turcz.,Gagea granulosa Turcz., + ,-
Elaeagnaceae ,Elaeagnus angustifolia L.,,-,+,,,,,,Liliaceae,Gagea lutea (L.) Ker-Gawl.,Gagea lutea (L.) Ker Gawl., + ,+
Elatinaceae ,Elaetine alsinastrum L. ,,-,+,,,,,,Liliaceae,Gagea minima (L.) Ker-Gawl.,Gagea minima (L.) Ker Gawl., + ,+
Ephedraceae,Ephedra distachya L.,,-,+,,,,,,Liliaceae,Gagea mirabilis Grossh.,,-,+
Equisetaceae,Equisetum fluviatile L.,Equisetum fluviatile L., + ,+,,,,,,Liliaceae,Gagea podolica Schult. et Schult. fil.,,-,+
Equisetaceae,Equisetum hyemale L.,Equisetum hyemale L., + ,-,,,,,,Liliaceae,Gagea samojedorum Grossh.,Gagea liotardii (Sternb.) Schult. & Schult.f., + ,-
Equisetaceae,Equisetum palustre L.,Equisetum palustre L., + ,+,,,,,,Asteraceae (Compositae),Galatella × crinitoides Novopokr.,,-,+
Equisetaceae,Equisetum pratense Ehrh.,Equisetum pratense Ehrh., + ,+,,,,,,Asteraceae (Compositae),Galatella angustissima ,,-,+
Equisetaceae,Equisetum sylvaticum L.,Equisetum sylvaticum L., + ,+,,,,,,Asteraceae (Compositae),Galatella biflora (L.) Ness,,-,+
Equisetaceae,Equisetum arvense L.,Equisetum arvense L., + ,+,,,,,,Asteraceae (Compositae),Galatella rossica Novopokr.,,-,+
Equisetaceae,Hippochaete hyemalis (L.),,-,+,,,,,,Asteraceae (Compositae),Galatella villosa (L.) Reichenb. Fil.,,-,+
Equisetaceae,Hippochaete × mackayi (Newm.) Skoda,,-,+,,,,,,Fabaceae (Leguminosae),Galega officinalis L. ,,-,+
Ericaceae,Andromeda polifolia L.,Andromeda polifolia L., + ,-,,,,,,Lamiaceae (Labiatae),Galeopsis bifida Boenn.,Galeopsis bifida Boenn., + ,+
Ericaceae,Oxycoccus microcarpus Turcz. ex Rupr.,Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh., + ,-,,,,,,Lamiaceae (Labiatae),Galeopsis ladanum L.,,-,+
Ericaceae,Oxycoccus palustris Pers.,Vaccinium oxycoccos L., + ,+,,,,,,Lamiaceae (Labiatae),Galeopsis speciosa Mill.,Galeopsis speciosa Mill., + ,+
Ericaceae,Vaccinium myrtillus L.,Vaccinium myrtillus L., + ,-,,,,,,Lamiaceae (Labiatae),Galeopsis tetrahit L.,,-,+
Ericaceae,Vaccinium uliginosum L.,Vaccinium uliginosum L., + ,-,,,,,,Asteraceae (Compositae),Galinsoga ciliata (Raf.) Blake ,,-,+
Ericaceae,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea L., + ,-,,,,,,Asteraceae (Compositae),Galinsoga parviflora Cav.,,-,+
Ericaceae,Ledum palustre L.,Ledum palustre L., + ,-,,,,,,Rubiaceae,Galium × pseudorubioides Klok.,,-,+
Ericaceae ,Arctostaphylos uva-ursi (L.) Spreng. ,,-,+,,,,,,Rubiaceae,Galium album Mill. ,,-,+
Euphorbiaceae ,Euphorbia borodinii Sambuk ,,-,+,,,,,,Rubiaceae,Galium aparine L.,,-,+
Euphorbiaceae ,Euphorbia falcata L.,,-,+,,,,,,Rubiaceae,Galium boreale L.,Galium boreale L., + ,+
Euphorbiaceae ,Euphorbia glareosa Pall. ex Bieb.,,-,+,,,,,,Rubiaceae,Galium intermedium Schult.,Galium intermedium Schult., + ,-
Euphorbiaceae ,Euphorbia helioscopia L.,,-,+,,,,,,Rubiaceae,Galium mollugo L.,Galium mollugo L., + ,+
Euphorbiaceae ,Euphorbia kaliniczenkoi Czern.,,-,+,,,,,,Rubiaceae,Galium octonarium (Klok.) Soo,,-,+
Euphorbiaceae ,Euphorbia palustris L.,,-,+,,,,,,Rubiaceae,Galium odoratum (L.) Scop.,,-,+
Euphorbiaceae ,Euphorbia pseudagraria P. Smirn.,,-,+,,,,,,Rubiaceae,Galium palustre L.,Galium palustre L., + ,+
Euphorbiaceae ,Euphorbia seguieriana Neck.,,-,+,,,,,,Rubiaceae,Galium physocarpum Ledeb.,,-,+
Euphorbiaceae ,Euphorbia semivillosa Prokh.,,-,+,,,,,,Rubiaceae,Galium pseudorivale Tzvel.,,-,+
Euphorbiaceae ,Euphorbia uralensis Fisch. ex Link,,-,+,,,,,,Rubiaceae,Galium rivale (Sibth. et Smith) Griseb.,,-,+
Euphorbiaceae ,Euphorbia virgata Waldst. et Kit.,,-,+,,,,,,Rubiaceae,Galium rubioides L.,,-,+
Euphorbiaceae ,Euphorbia zhiguliensis Prokh..,,-,+,,,,,,Rubiaceae,Galium ruthenicum Willd.,,-,+
Euphorbiaceae ,Mercurialis perennis L. ,,-,+,,,,,,Rubiaceae,Galium spurium L.,,-,+
Fabaceae (Leguminosae),Amoria hybrida (L.) C.Presl,Trifolium hybridum L., + ,+,,,,,,Rubiaceae,Galium tinctorium (L.) Scop.,,-,+
Fabaceae (Leguminosae),Amoria repens (L.) C.Presl,Trifolium repens L., + ,-,,,,,,Rubiaceae,Galium trifidum L.,,-,+
Fabaceae (Leguminosae),Chamaecytisus ruthenicus (Fisch. ex Woloszcz.) Klásková,Chamaecytisus ruthenicus (Fischer ex Woloszczak) Klásk., + ,+,,,,,,Rubiaceae,Galium triflorum Michx.,Galium triflorum Michx., + ,-
Fabaceae (Leguminosae),Chrysaspis spadicea (L.) Greene,Trifolium spadiceum L., + ,-,,,,,,Rubiaceae,Galium uliginosum L.,Galium uliginosum L., + ,+
Fabaceae (Leguminosae),Lathyrus gmelinii Fritsch,Lathyrus gmelinii Fritsch, + ,-,,,,,,Rubiaceae,Galium vaillantii DC.,,-,+
Fabaceae (Leguminosae),Lathyrus pratensis L.,Lathyrus pratensis L., + ,+,,,,,,Rubiaceae,Galium verum L.,,-,+
Fabaceae (Leguminosae),Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh., + ,+,,,,,,Fabaceae (Leguminosae),Genista tinctoria L. ,,-,+
Fabaceae (Leguminosae),Trifolium lupinaster L. (=Lupinaster pentaphyllus Moench),Trifolium lupinaster L., + ,-,,,,,,Gentianaceae,Gentiana cruciata L. ,,-,+
Fabaceae (Leguminosae),Trifolium medium L.,Trifolium medium L., + ,+,,,,,,Gentianaceae,Gentiana pneumonanthe L.,,-,+
Fabaceae (Leguminosae),Trifolium pratense L.,Trifolium pratense L., + ,+,,,,,,Gentianaceae,Gentianella lingulata (C.Agardh) N.M.Pritch.,Gentianella amarella (L.) Harry Sm., + ,+
Fabaceae (Leguminosae),Vicia cracca L.,Vicia cracca L., + ,+,,,,,,Geraniaceae,Geranium collinum Steph. ,,-,+
Fabaceae (Leguminosae),Vicia sepium L.,Vicia sepium L., + ,+,,,,,,Geraniaceae,Geranium palustre L.,,-,+
Fabaceae (Leguminosae),Vicia sylvatica L.,Vicia sylvatica L., + ,+,,,,,,Geraniaceae,Geranium pratense L.,Geranium pratense L., + ,+
Fabaceae (Leguminosae),Amoria frasifera (L.) Roskov ,,-,+,,,,,,Geraniaceae,Geranium pusillum L.,,-,+
Fabaceae (Leguminosae),Amoria montana (L.) Sojak,,-,+,,,,,,Geraniaceae,Geranium robertanum L.,,-,+
Fabaceae (Leguminosae),Amorpha fruticosa L.  ,,-,+,,,,,,Geraniaceae,Geranium sanguineum L.,,-,+
Fabaceae (Leguminosae),Amorpha repens (L.) C. Presl,,-,+,,,,,,Geraniaceae,Geranium sibiricum L.,,-,+
Fabaceae (Leguminosae),Astragalus austriacus Jacq. ,,-,+,,,,,,Geraniaceae,Geranium silvaticum L.,,-,+
Fabaceae (Leguminosae),Astragalus сісег L.,,-,+,,,,,,Geraniaceae,Geranium sylvaticum L.,Geranium sylvaticum L., + ,+
Fabaceae (Leguminosae),Astragalus danicus Retz.,,-,+,,,,,,Rosaceae,Geum × spurium Fisch. et C.A. Mey.,,-,+
Fabaceae (Leguminosae),Astragalus glycyphyllos L.,,-,+,,,,,,Rosaceae,Geum aleppicum Jacq.,Geum aleppicum Jacq., + ,+
Fabaceae (Leguminosae),Astragalus helmii Fisch.,,-,+,,,,,,Rosaceae,Geum rivale L.,Geum rivale L., + ,+
Fabaceae (Leguminosae),Astragalus onobrychis L.,,-,+,,,,,,Rosaceae,Geum urbanum L.,,-,+
Fabaceae (Leguminosae),Astragalus rupifragus Pall.,,-,+,,,,,,Iridaceae,Gladiolus imbricatus L.,,-,+
Fabaceae (Leguminosae),Astragalus testiculatus Pall.,,-,+,,,,,,Primulaceae,Glaux maritima L. ,,-,+
Fabaceae (Leguminosae),Astragalus varius S.G.Gmel.,,-,+,,,,,,Lamiaceae (Labiatae),Glechoma hederacea L.,Glechoma hederacea L., + ,+
Fabaceae (Leguminosae),Astragalus zingeri Korsh.,,-,+,,,,,,Lamiaceae (Labiatae),Glechoma hirsuta Waldst. et Kit.,,-,+
Fabaceae (Leguminosae),Caragana arborescens Lam.,,-,+,,,,,,Globulariaceae ,Globularia punctata Lapeyr. ,,-,+
Fabaceae (Leguminosae),Caragana frutex (L.) C.Koch,,-,+,,,,,,Poaceae (Gramineae),Glyceria arundinacea Kunth,,-,+
Fabaceae (Leguminosae),Chrysaspis aurea (Poll) Greene ,,-,+,,,,,,Poaceae (Gramineae),Glyceria fluitans (L.) R.Br. ,,-,+
Fabaceae (Leguminosae),Galega officinalis L. ,,-,+,,,,,,Poaceae (Gramineae),Glyceria lithuanica (Gorski) Gorski,Glyceria lithuanica (Gorski) Gorski, + ,-
Fabaceae (Leguminosae),Genista tinctoria L. ,,-,+,,,,,,Poaceae (Gramineae),Glyceria maxima (C. Hartm.) Holmb. ,,-,+
Fabaceae (Leguminosae),Hedysarum grandiflorum Pall. ,,-,+,,,,,,Poaceae (Gramineae),Glyceria notata Chevall. (= G. plicata (Fries) Fries),Glyceria notata Chevall., + ,+
Fabaceae (Leguminosae),Lathyrus litvinovii Iljin ,,-,+,,,,,,Poaceae (Gramineae),Glyceria triflora (Korsh.) Kom.,Glyceria arundinacea Kunth, + ,-
Fabaceae (Leguminosae),Lathyrus palescens (Bieb.) C. Koch,,-,+,,,,,,Asteraceae (Compositae),Gnaphalium rossicum Kir. ,,-,+
Fabaceae (Leguminosae),Lathyrus pisiformis L.,,-,+,,,,,,Asteraceae (Compositae),Gnaphalium uliginosum (L.) Opiz,,-,+
Fabaceae (Leguminosae),Lathyrus platyphyllos Retz.,,-,+,,,,,,Orchidaceae,Goodyera repens (L.) R.Br.,Goodyera repens (L.) R.Br., + ,-
Fabaceae (Leguminosae),Lathyrus sylvestris L.,,-,+,,,,,,Scrophulariaceae,Gratiola officinalis L.,,-,+
Fabaceae (Leguminosae),Lathyrus tuberosus L.,,-,+,,,,,,Grossulariaceae,Grossularia reclinata (L.) Mill. ,,-,+
Fabaceae (Leguminosae),Lotus corniculatus L. ,,-,+,,,,,,Orchidaceae,Gymnadenia conopsea (L.) R.Br.,Gymnadenia conopsea (L.) R.Br., + ,+
Fabaceae (Leguminosae),Lotus zhegulensis Klok.,,-,+,,,,,,Woodsiaceae,Gymnocarpium dryopteris (L.) Newm.,,-,+
Fabaceae (Leguminosae),Lupinaster albus Link ,,-,+,,,,,,Athyriaceae,Gymnocarpium dryopteris (L.) Newman,Gymnocarpium dryopteris (L.) Newman, + ,-
Fabaceae (Leguminosae),Medicago falcata L. ,,-,+,,,,,,Woodsiaceae,Gymnocarpium robertianum (Hoffm.) Newm.,,-,+
Fabaceae (Leguminosae),Medicago lupulina L.,,-,+,,,,,,Caryophyllaceae ,Gypsophila altissima L. ,,-,+
Fabaceae (Leguminosae),Medicago romanica Prod.,,-,+,,,,,,Caryophyllaceae ,Gypsophila juzepczukii Ikonn.,,-,+
Fabaceae (Leguminosae),Medicago sativa L.,,-,+,,,,,,Caryophyllaceae ,Gypsophila paniculata L.,,-,+
Fabaceae (Leguminosae),Melilotus albus Medik. ,,-,+,,,,,,Caryophyllaceae ,Gypsophila zhegulensis A. Krasnova,,-,+
Fabaceae (Leguminosae),Melilotus dentatus (Waldst. et Kit.) Pers.,,-,+,,,,,,Boraginaceae,Hackelia deflexa (Wahlenb.) Opiz ,,-,+
Fabaceae (Leguminosae),Melilotus officinalis (L.) Pall.,,-,+,,,,,,Orchidaceae,Hammarbya paludosa (L.) ,,-,+
Fabaceae (Leguminosae),Onobrychis arenaria (Kit.) DC. ,,-,+,,,,,,Orchidaceae,Hammarbya paludosa (L.) Kuntze,Hammarbya paludosa (L.) Kuntze, + ,-
Fabaceae (Leguminosae),Ononis arvensis L. ,,-,+,,,,,,Fabaceae (Leguminosae),Hedysarum grandiflorum Pall. ,,-,+
Fabaceae (Leguminosae),Oxytropis pilosa (L.) DC. ,,-,+,,,,,,Cistaceae ,Helianthemum nummularium (L.) Mill. ,,-,+
Fabaceae (Leguminosae),Pisum arvense L. ,,-,+,,,,,,Cistaceae ,Helianthemum zheguliense Juz. ex Tzvel.,,-,+
Fabaceae (Leguminosae),Pisum sativum L.,,-,+,,,,,,Asteraceae (Compositae),Helianthus annuus L. ,,-,+
